Country Code,Country,URL
AUS,Australia,https://image.flaticon.com/icons/svg/197/197507.svg
AUT,Austria,https://image.flaticon.com/icons/svg/197/197447.svg
BEL,Belgium,https://image.flaticon.com/icons/svg/197/197583.svg
BRA,Brazil,https://image.flaticon.com/icons/svg/197/197386.svg
CAN,Canada,https://image.flaticon.com/icons/svg/197/197430.svg
CHL,Chile,https://image.flaticon.com/icons/svg/197/197586.svg
COL,Colombia,https://image.flaticon.com/icons/svg/197/197575.svg
CZE,Czech Republic,https://image.flaticon.com/icons/svg/197/197576.svg
DNK,Denmark,https://image.flaticon.com/icons/svg/197/197565.svg
EST,Estonia,https://image.flaticon.com/icons/svg/197/197379.svg
FIN,Finland,https://image.flaticon.com/icons/svg/197/197585.svg
FRA,France,https://image.flaticon.com/icons/svg/197/197560.svg
GER,Germany,https://image.flaticon.com/icons/svg/197/197571.svg
GRC,Greece,https://image.flaticon.com/icons/svg/197/197566.svg
HUN,Hungary,https://image.flaticon.com/icons/svg/197/197584.svg
IDN,Indonesia,https://image.flaticon.com/icons/svg/197/197559.svg
IRL,Ireland,https://image.flaticon.com/icons/svg/197/197567.svg
ISR,Israel,https://image.flaticon.com/icons/svg/197/197577.svg
ITA,Italy,https://image.flaticon.com/icons/svg/197/197626.svg
JPN,Japan,https://image.flaticon.com/icons/svg/197/197604.svg
KOR,Korea,https://image.flaticon.com/icons/svg/197/197582.svg
MEX,Mexico,https://image.flaticon.com/icons/svg/197/197397.svg
NLD,Netherlands,https://image.flaticon.com/icons/svg/197/197441.svg
NZL,New Zealand,https://image.flaticon.com/icons/svg/197/197589.svg
NOR,Norway,https://image.flaticon.com/icons/svg/197/197579.svg
POL,Poland,https://image.flaticon.com/icons/svg/197/197529.svg
PRT,Portugal,https://image.flaticon.com/icons/svg/197/197463.svg
RUS,Russia,https://image.flaticon.com/icons/svg/197/197408.svg
SVK,Slovak Republic,https://image.flaticon.com/icons/svg/197/197592.svg
SVN,Slovenia,https://image.flaticon.com/icons/svg/197/197633.svg
ESP,Spain,https://image.flaticon.com/icons/svg/197/197593.svg
SWE,Sweden,https://image.flaticon.com/icons/svg/197/197564.svg
SWZ,Switzerland,https://image.flaticon.com/icons/svg/197/197540.svg
TUR,Turkey,https://image.flaticon.com/icons/svg/197/197518.svg
GBR,United Kingdom,https://image.flaticon.com/icons/svg/197/197374.svg
USA,United States,https://image.flaticon.com/icons/svg/197/197484.svg
