Country Code,Country ,Area
AUS,Australia,7682300
AUT,Austria,82523
BEL,Belgium,30280
BRA,Brazil,8358140
CAN,Canada,9093510
CHL,Chile,743532
COL,Colombia,1109500
CZE,Czech Republic,77210
DNK,Denmark,42262
EST,Estonia,42390
FIN,Finland,303890
FRA,France,547557
GER,Germany,348900
GRC,Greece,128900
HUN,Hungary,90530
IDN,Indonesia,1811570
IRL,Ireland,68890
ISR,Israel,21640
ITA,Italy,294140
JPN,Japan,364560
KOR,Korea,97480
MEX,Mexico,1943950
NLD,Netherlands,33690
NZL,New Zealand,263310
NOR,Norway,365245
POL,Poland,306190
PRT,Portugal,91605
RUS,Russia,16376870
SVK,Slovak Republic,48086
SVN,Slovenia,20140
ESP,Spain,500210
SWE,Sweden,407310
SWZ,Switzerland,39516
TUR,Turkey,769630
GBR,United Kingdom,241930
USA,United States,9147420
TOT,Total,61894806
